fips,Current Price (2021/4/30)
16001,479878
12005,252366
26017,145633
48025,129938
46037,122692
42047,91083
16045,289387
19093,81402
18075,91807
40071,67857
35025,181269
1081,222881
5077,44943
12071,273071
13177,188893
19111,94584
17103,102913
21129,64548
28081,139154
37105,156604
45061,80339
48287,231307
51105,82388
32023,265193
29177,151541
19161,99353
37009,208467
8009,94395
21011,91462
51017,147086
21013,57665
48027,185409
8011,80857
1007,137870
13021,102374
17005,110055
21019,89616
31021,115004
48063,120738
19029,98837
17017,79923
18017,93880
26027,165980
27021,206416
29037,244743
38017,250528
31025,213245
48067,106554
1027,103409
5021,60283
12019,254633
13061,89884
19041,139022
17025,70873
18021,114119
20027,102843
21051,54597
27027,220507
29047,239186
28025,109514
37043,203974
31035,103937
46027,191391
47027,107253
48077,107559
54015,97831
40029,83202
13067,323286
29051,180989
13075,102688
17031,280691
27031,286299
33007,139874
41011,264984
13083,164224
29057,105540
1045,103436
55025,331540
37055,365043
29065,121639
55029,237561
5043,104778
55033,189368
47045,104337
32007,296624
36029,209363
39043,161687
42049,150449
17053,93875
20057,120613
48163,90220
31067,112969
4007,272789
20069,155851
48179,65199
12045,234992
1065,100430
48189,80408
13139,266980
31079,174288
48191,47584
13147,188729
21099,101843
48209,344796
30041,203578
48217,114205
37093,168168
31089,149094
48221,279268
48231,196894
37095,152192
6027,388259
19095,163803
55049,185927
26071,99281
29093,92881
49021,276413
55051,139310
48237,126409
49023,276932
17089,263217
49025,277775
10001,261351
24029,245341
26081,257548
44003,309147
6029,272222
48265,270172
53033,749567
17095,80780
18083,97249
21121,87070
23013,271816
31107,99893
39083,172489
47093,250613
6033,296071
8065,284794
12069,259646
17097,274571
18089,184528
26085,96454
27075,192329
30047,362829
39085,183143
41037,116139
46079,191726
47095,59332
48279,55797
41039,377622
12073,212980
48289,186262
12075,151865
19113,176587
20107,132335
29115,69193
41043,329890
13183,171056
40085,118942
26095,89291
35029,120760
48305,151602
19119,147288
20111,116475
21143,148605
27083,163245
32019,331044
15009,763244
8077,307145
6051,499681
6055,796806
37127,154983
17141,138756
18115,179284
21183,106185
54069,115473
31131,157818
18119,140026
21187,143386
