DisasterId,FipsCountyCode,Year,DisasterType,Discription
1,18021,1959,Flood,FLOOD
2,6007,1965,Flood,HEAVY RAINS & FLOODING
3,6015,1965,Flood,HEAVY RAINS & FLOODING
4,6003,1965,Flood,HEAVY RAINS & FLOODING
5,6011,1965,Flood,HEAVY RAINS & FLOODING
6,6005,1965,Flood,HEAVY RAINS & FLOODING
7,6023,1965,Flood,HEAVY RAINS & FLOODING
8,6033,1965,Flood,HEAVY RAINS & FLOODING
9,6035,1965,Flood,HEAVY RAINS & FLOODING
10,6041,1965,Flood,HEAVY RAINS & FLOODING
11,6021,1965,Flood,HEAVY RAINS & FLOODING
12,6017,1965,Flood,HEAVY RAINS & FLOODING
13,6055,1965,Flood,HEAVY RAINS & FLOODING
14,6057,1965,Flood,HEAVY RAINS & FLOODING
15,6045,1965,Flood,HEAVY RAINS & FLOODING
16,6049,1965,Flood,HEAVY RAINS & FLOODING
17,6067,1965,Flood,HEAVY RAINS & FLOODING
18,6077,1965,Flood,HEAVY RAINS & FLOODING
19,6089,1965,Flood,HEAVY RAINS & FLOODING
20,6093,1965,Flood,HEAVY RAINS & FLOODING
21,6095,1965,Flood,HEAVY RAINS & FLOODING
22,6063,1965,Flood,HEAVY RAINS & FLOODING
23,6061,1965,Flood,HEAVY RAINS & FLOODING
24,6091,1965,Flood,HEAVY RAINS & FLOODING
25,6097,1965,Flood,HEAVY RAINS & FLOODING
26,6099,1965,Flood,HEAVY RAINS & FLOODING
27,6101,1965,Flood,HEAVY RAINS & FLOODING
28,6105,1965,Flood,HEAVY RAINS & FLOODING
29,6103,1965,Flood,HEAVY RAINS & FLOODING
30,6109,1965,Flood,HEAVY RAINS & FLOODING
31,6113,1965,Flood,HEAVY RAINS & FLOODING
32,41001,1965,Flood,HEAVY RAINS & FLOODING
33,41011,1965,Flood,HEAVY RAINS & FLOODING
34,6115,1965,Flood,HEAVY RAINS & FLOODING
35,41017,1965,Flood,HEAVY RAINS & FLOODING
36,41015,1965,Flood,HEAVY RAINS & FLOODING
37,41019,1965,Flood,HEAVY RAINS & FLOODING
38,41021,1965,Flood,HEAVY RAINS & FLOODING
39,41023,1965,Flood,HEAVY RAINS & FLOODING
40,41027,1965,Flood,HEAVY RAINS & FLOODING
41,41025,1965,Flood,HEAVY RAINS & FLOODING
42,41013,1965,Flood,HEAVY RAINS & FLOODING
43,41005,1965,Flood,HEAVY RAINS & FLOODING
44,41031,1965,Flood,HEAVY RAINS & FLOODING
45,41035,1965,Flood,HEAVY RAINS & FLOODING
46,41033,1965,Flood,HEAVY RAINS & FLOODING
47,41037,1965,Flood,HEAVY RAINS & FLOODING
48,41039,1965,Flood,HEAVY RAINS & FLOODING
49,41007,1965,Flood,HEAVY RAINS & FLOODING
50,41029,1965,Flood,HEAVY RAINS & FLOODING
51,41003,1965,Flood,HEAVY RAINS & FLOODING
52,41043,1965,Flood,HEAVY RAINS & FLOODING
53,41053,1965,Flood,HEAVY RAINS & FLOODING
54,41045,1965,Flood,HEAVY RAINS & FLOODING
55,41009,1965,Flood,HEAVY RAINS & FLOODING
56,41041,1965,Flood,HEAVY RAINS & FLOODING
57,41063,1965,Flood,HEAVY RAINS & FLOODING
58,41061,1965,Flood,HEAVY RAINS & FLOODING
59,41047,1965,Flood,HEAVY RAINS & FLOODING
60,41051,1965,Flood,HEAVY RAINS & FLOODING
61,41065,1965,Flood,HEAVY RAINS & FLOODING
62,41067,1965,Flood,HEAVY RAINS & FLOODING
63,41069,1965,Flood,HEAVY RAINS & FLOODING
64,41055,1965,Flood,HEAVY RAINS & FLOODING
65,41049,1965,Flood,HEAVY RAINS & FLOODING
66,41057,1965,Flood,HEAVY RAINS & FLOODING
67,41059,1965,Flood,HEAVY RAINS & FLOODING
68,53011,1965,Flood,HEAVY RAINS & FLOODING
69,53013,1965,Flood,HEAVY RAINS & FLOODING
70,53005,1965,Flood,HEAVY RAINS & FLOODING
71,41071,1965,Flood,HEAVY RAINS & FLOODING
72,53003,1965,Flood,HEAVY RAINS & FLOODING
73,53015,1965,Flood,HEAVY RAINS & FLOODING
74,53023,1965,Flood,HEAVY RAINS & FLOODING
75,53027,1965,Flood,HEAVY RAINS & FLOODING
76,53033,1965,Flood,HEAVY RAINS & FLOODING
77,53037,1965,Flood,HEAVY RAINS & FLOODING
78,53039,1965,Flood,HEAVY RAINS & FLOODING
79,53041,1965,Flood,HEAVY RAINS & FLOODING
80,53045,1965,Flood,HEAVY RAINS & FLOODING
81,53049,1965,Flood,HEAVY RAINS & FLOODING
82,53053,1965,Flood,HEAVY RAINS & FLOODING
83,53059,1965,Flood,HEAVY RAINS & FLOODING
84,53061,1965,Flood,HEAVY RAINS & FLOODING
85,53063,1965,Flood,HEAVY RAINS & FLOODING
86,53069,1965,Flood,HEAVY RAINS & FLOODING
87,53071,1965,Flood,HEAVY RAINS & FLOODING
88,53075,1965,Flood,HEAVY RAINS & FLOODING
89,53077,1965,Flood,HEAVY RAINS & FLOODING
90,16001,1965,Flood,HEAVY RAINS & FLOODING
91,16005,1965,Flood,HEAVY RAINS & FLOODING
92,16009,1965,Flood,HEAVY RAINS & FLOODING
93,16015,1965,Flood,HEAVY RAINS & FLOODING
94,16019,1965,Flood,HEAVY RAINS & FLOODING
95,16023,1965,Flood,HEAVY RAINS & FLOODING
96,16025,1965,Flood,HEAVY RAINS & FLOODING
97,16029,1965,Flood,HEAVY RAINS & FLOODING
98,16031,1965,Flood,HEAVY RAINS & FLOODING
99,16035,1965,Flood,HEAVY RAINS & FLOODING
100,16013,1965,Flood,HEAVY RAINS & FLOODING
101,16039,1965,Flood,HEAVY RAINS & FLOODING
102,16045,1965,Flood,HEAVY RAINS & FLOODING
103,16047,1965,Flood,HEAVY RAINS & FLOODING
104,16049,1965,Flood,HEAVY RAINS & FLOODING
105,16053,1965,Flood,HEAVY RAINS & FLOODING
106,16055,1965,Flood,HEAVY RAINS & FLOODING
107,16057,1965,Flood,HEAVY RAINS & FLOODING
108,16063,1965,Flood,HEAVY RAINS & FLOODING
109,16067,1965,Flood,HEAVY RAINS & FLOODING
110,16069,1965,Flood,HEAVY RAINS & FLOODING
111,16073,1965,Flood,HEAVY RAINS & FLOODING
112,16075,1965,Flood,HEAVY RAINS & FLOODING
113,16077,1965,Flood,HEAVY RAINS & FLOODING
114,16079,1965,Flood,HEAVY RAINS & FLOODING
115,16061,1965,Flood,HEAVY RAINS & FLOODING
116,16087,1965,Flood,HEAVY RAINS & FLOODING
117,32005,1965,Flood,"SEVERE STORMS, HEAVY RAINS & FLOODING"
118,32019,1965,Flood,"SEVERE STORMS, HEAVY RAINS & FLOODING"
119,27001,1965,Flood,FLOODING
120,27003,1965,Flood,FLOODING
121,27009,1965,Flood,FLOODING
122,32029,1965,Flood,"SEVERE STORMS, HEAVY RAINS & FLOODING"
123,32031,1965,Flood,"SEVERE STORMS, HEAVY RAINS & FLOODING"
124,27013,1965,Flood,FLOODING
125,27015,1965,Flood,FLOODING
126,27019,1965,Flood,FLOODING
